name,path,status,issues
Shard_Drift_Depth_Infinite_Stream_ah.md,Shard_Drift_Depth_Infinite_Stream_ah.md,ok,[]
Shard_Drift_Depth_Infinite_Stream_frac.md,Shard_Drift_Depth_Infinite_Stream_frac.md,ok,[]
Shard_Drift_Depth_Stream_mv1.md,Shard_Drift_Depth_Stream_mv1.md,ok,[]
Thalos_Depth_Infinite_Stream.md,Thalos_Depth_Infinite_Stream.md,ok,['Invalid or missing suffix']
Thalos_Depth_Infinite_Stream2.md,Thalos_Depth_Infinite_Stream2.md,ok,"['Invalid or missing suffix', 'Possible corrupted or redundant filename']"
Thalos_Depth_Stream3.md,Thalos_Depth_Stream3.md,ok,['Invalid or missing suffix']
The Long Haul,The Long Haul,ok,['Non-standard file type']
Vaelus_Cluster_Depth_Stream_mv1.md,Vaelus_Cluster_Depth_Stream_mv1.md,ok,[]
Vaelus_Solarii_Caldrax_Aransas_Depth_Infinite_Stream_ah.md,Vaelus_Solarii_Caldrax_Aransas_Depth_Infinite_Stream_ah.md,ok,[]
Vaelus_System_Depth_Infinite_Stream_frac.md,Vaelus_System_Depth_Infinite_Stream_frac.md,ok,[]
